iter	Passed	Remaining
0	238	238662
1	271	135524
2	292	97114
3	308	76751
4	331	65914
5	346	57382
6	371	52668
7	389	48304
8	405	44635
9	423	41940
10	445	40092
11	464	38215
12	495	37605
13	514	36262
14	535	35146
15	554	34100
16	572	33123
17	592	32317
18	607	31370
19	628	30788
20	648	30242
21	664	29538
22	686	29142
23	701	28523
24	724	28238
25	738	27660
26	757	27297
27	775	26935
28	792	26549
29	810	26198
30	828	25884
31	847	25630
32	863	25295
33	889	25283
34	926	25553
35	947	25374
36	967	25168
37	987	24994
38	1006	24794
39	1024	24593
40	1044	24428
41	1061	24212
42	1084	24137
43	1097	23849
44	1120	23782
45	1138	23617
46	1154	23408
47	1175	23315
48	1190	23113
49	1210	22995
50	1235	22995
51	1253	22848
52	1273	22749
53	1290	22611
54	1317	22637
55	1335	22505
56	1351	22358
57	1372	22290
58	1388	22142
59	1415	22178
60	1431	22032
61	1447	21904
62	1470	21870
63	1485	21732
64	1506	21673
65	1522	21539
66	1539	21436
67	1554	21311
68	1575	21258
69	1589	21119
70	1611	21081
71	1626	20964
72	1643	20875
73	1667	20862
74	1682	20754
75	1703	20713
76	1725	20683
77	1744	20623
78	1763	20564
79	1780	20478
80	1799	20419
81	1816	20340
82	1834	20271
83	1854	20220
84	1872	20157
85	1888	20067
86	1909	20036
87	1930	20002
88	1947	19932
89	1964	19865
90	1980	19781
91	1998	19723
92	2019	19698
93	2038	19648
94	2058	19608
95	2074	19531
96	2095	19505
97	2113	19454
98	2131	19402
99	2151	19359
100	2168	19304
101	2185	19244
102	2204	19197
103	2223	19156
104	2239	19090
105	2264	19098
106	2282	19047
107	2300	19003
108	2319	18961
109	2337	18914
110	2355	18868
111	2371	18802
112	2392	18777
113	2407	18710
114	2423	18653
115	2451	18679
116	2467	18622
117	2486	18586
118	2503	18536
119	2527	18538
120	2547	18509
121	2564	18456
122	2585	18434
123	2600	18372
124	2618	18330
125	2640	18313
126	2659	18284
127	2675	18227
128	2697	18214
129	2723	18226
130	2738	18163
131	2757	18129
132	2771	18066
133	2791	18041
134	2808	17995
135	2827	17960
136	2846	17929
137	2862	17882
138	2883	17858
139	2909	17873
140	2927	17835
141	2947	17808
142	2965	17773
143	2989	17773
144	3009	17746
145	3026	17700
146	3045	17673
147	3061	17622
148	3080	17595
149	3094	17536
150	3116	17523
151	3133	17481
152	3151	17444
153	3171	17423
154	3188	17383
155	3207	17352
156	3223	17308
157	3246	17300
158	3264	17266
159	3281	17229
160	3302	17209
161	3318	17164
162	3340	17155
163	3357	17116
164	3376	17085
165	3391	17039
166	3410	17009
167	3430	16991
168	3447	16951
169	3468	16934
170	3486	16904
171	3510	16901
172	3528	16867
173	3545	16828
174	3565	16810
175	3580	16765
176	3599	16737
177	3617	16706
178	3636	16680
179	3650	16631
180	3668	16599
181	3686	16568
182	3705	16541
183	3717	16487
184	3740	16480
185	3761	16459
186	3776	16417
187	3795	16394
188	3811	16356
189	3830	16330
190	3845	16288
191	3867	16274
192	3885	16246
193	3902	16214
194	3916	16169
195	3934	16139
196	3953	16114
197	3970	16082
198	3991	16065
199	4009	16037
200	4028	16012
201	4043	15972
202	4061	15945
203	4080	15920
204	4100	15902
205	4118	15872
206	4139	15857
207	4157	15831
208	4174	15797
209	4195	15782
210	4213	15757
211	4231	15727
212	4249	15701
213	4267	15675
214	4288	15658
215	4304	15624
216	4322	15596
217	4340	15568
218	4358	15544
219	4371	15499
220	4392	15484
221	4408	15449
222	4426	15421
223	4444	15395
224	4460	15363
225	4481	15347
226	4498	15317
227	4524	15318
228	4544	15300
229	4560	15267
230	4580	15246
231	4598	15222
232	4616	15197
233	4631	15161
234	4654	15152
235	4672	15125
236	4690	15100
237	4708	15075
238	4725	15046
239	4745	15026
240	4760	14992
241	4778	14968
242	4796	14941
243	4813	14915
244	4828	14879
245	4852	14873
246	4868	14843
247	4887	14818
248	4904	14793
249	4927	14781
250	4948	14767
251	4963	14734
252	4984	14717
253	5001	14689
254	5018	14661
255	5038	14644
256	5059	14627
257	5076	14601
258	5092	14570
259	5114	14556
260	5130	14527
261	5148	14501
262	5165	14474
263	5184	14454
264	5202	14430
265	5219	14403
266	5238	14380
267	5261	14371
268	5280	14349
269	5300	14330
270	5324	14322
271	5341	14296
272	5356	14264
273	5377	14249
274	5395	14224
275	5412	14196
276	5433	14181
277	5449	14152
278	5467	14129
279	5484	14102
280	5505	14087
281	5520	14056
282	5541	14039
283	5562	14023
284	5580	14001
285	5599	13978
286	5614	13947
287	5635	13932
288	5651	13904
289	5671	13886
290	5688	13859
291	5711	13848
292	5730	13827
293	5745	13796
294	5764	13776
295	5780	13748
296	5799	13726
297	5813	13694
298	5837	13684
299	5854	13661
300	5872	13636
301	5893	13622
302	5909	13593
303	5929	13575
304	5948	13555
305	5968	13535
306	5985	13510
307	6002	13485
308	6022	13468
309	6038	13439
310	6059	13424
311	6078	13403
312	6103	13396
313	6121	13374
314	6137	13346
315	6163	13340
316	6177	13309
317	6195	13287
318	6211	13259
319	6233	13246
320	6253	13227
321	6268	13199
322	6289	13182
323	6304	13154
324	6325	13137
325	6344	13117
326	6362	13094
327	6379	13069
328	6395	13043
329	6417	13028
330	6433	13002
331	6451	12980
332	6467	12955
333	6491	12944
334	6512	12927
335	6528	12900
336	6548	12882
337	6564	12857
338	6588	12846
339	6604	12821
340	6622	12798
341	6636	12768
342	6657	12752
343	6690	12758
344	6726	12771
345	6759	12777
346	6774	12749
347	6790	12721
348	6804	12693
349	6820	12666
350	6835	12638
351	6849	12609
352	6862	12577
353	6876	12549
354	6892	12522
355	6909	12498
356	6924	12472
357	6939	12445
358	6954	12418
359	6970	12391
360	6985	12364
361	6999	12336
362	7015	12311
363	7027	12279
364	7041	12249
365	7056	12223
366	7070	12194
367	7085	12169
368	7102	12144
369	7116	12117
370	7130	12088
371	7145	12062
372	7158	12032
373	7172	12004
374	7186	11977
375	7201	11952
376	7217	11927
377	7231	11899
378	7246	11873
379	7260	11845
380	7272	11815
381	7286	11788
382	7302	11764
383	7327	11753
384	7338	11722
385	7353	11697
386	7367	11669
387	7382	11643
388	7396	11617
389	7410	11591
390	7424	11564
391	7436	11534
392	7452	11510
393	7469	11489
394	7483	11462
395	7497	11436
396	7512	11410
397	7531	11391
398	7545	11365
399	7559	11339
400	7573	11313
401	7588	11287
402	7600	11259
403	7617	11237
404	7632	11213
405	7647	11188
406	7661	11162
407	7675	11136
408	7690	11112
409	7706	11089
410	7721	11064
411	7735	11040
412	7748	11013
413	7766	10992
414	7778	10965
415	7793	10941
416	7807	10916
417	7822	10891
418	7836	10866
419	7851	10842
420	7865	10816
421	7877	10790
422	7893	10766
423	7906	10740
424	7920	10716
425	7935	10692
426	7950	10668
427	7965	10644
428	7977	10617
429	7991	10593
430	8005	10568
431	8019	10544
432	8034	10521
433	8054	10503
434	8070	10482
435	8088	10463
436	8114	10454
437	8134	10436
438	8154	10420
439	8173	10402
440	8192	10385
441	8206	10360
442	8228	10346
443	8244	10324
444	8262	10305
445	8280	10285
446	8299	10267
447	8317	10248
448	8332	10225
449	8350	10206
450	8370	10189
451	8391	10173
452	8406	10150
453	8427	10135
454	8443	10113
455	8460	10093
456	8477	10072
457	8496	10055
458	8522	10044
459	8535	10019
460	8558	10006
461	8576	9987
462	8592	9966
463	8612	9949
464	8631	9930
465	8650	9912
466	8669	9894
467	8689	9878
468	8707	9858
469	8723	9837
470	8744	9821
471	8763	9803
472	8784	9787
473	8800	9765
474	8820	9749
475	8837	9729
476	8854	9708
477	8874	9691
478	8892	9672
479	8916	9659
480	8933	9638
481	8953	9622
482	8972	9603
483	8988	9582
484	9007	9565
485	9024	9544
486	9045	9528
487	9058	9503
488	9079	9487
489	9092	9463
490	9109	9443
491	9125	9422
492	9146	9406
493	9163	9385
494	9184	9369
495	9204	9352
496	9220	9331
497	9238	9313
498	9253	9290
499	9271	9271
500	9288	9251
501	9310	9235
502	9323	9212
503	9354	9205
504	9386	9200
505	9450	9225
506	9498	9236
507	9518	9219
508	9546	9208
509	9566	9191
510	9583	9170
511	9611	9161
512	9646	9157
513	9782	9249
514	9829	9256
515	9857	9246
516	9877	9228
517	9898	9210
518	9927	9200
519	9948	9183
520	9965	9161
521	9989	9147
522	10010	9129
523	10026	9108
524	10046	9089
525	10068	9073
526	10089	9055
527	10111	9038
528	10130	9019
529	10150	9001
530	10170	8982
531	10194	8967
532	10217	8951
533	10235	8931
534	10258	8915
535	10279	8898
536	10292	8874
537	10316	8859
538	10336	8840
539	10353	8819
540	10378	8805
541	10398	8786
542	10417	8767
543	10437	8749
544	10458	8731
545	10479	8714
546	10501	8696
547	10520	8677
548	10545	8662
549	10569	8647
550	10602	8640
551	10622	8620
552	10644	8603
553	10664	8585
554	10680	8563
555	10698	8543
556	10717	8523
557	10740	8507
558	10761	8489
559	10783	8472
560	10802	8453
561	10818	8431
562	10840	8414
563	10861	8396
564	10890	8384
565	10929	8380
566	10948	8360
567	10974	8347
568	11003	8334
569	11023	8316
570	11040	8294
571	11060	8275
572	11077	8255
573	11105	8242
574	11127	8224
575	11159	8214
576	11177	8194
577	11200	8177
578	11223	8160
579	11241	8140
580	11260	8120
581	11284	8104
582	11306	8087
583	11331	8072
584	11352	8053
585	11378	8038
586	11402	8022
587	11435	8012
588	11456	7994
589	11480	7978
590	11502	7960
591	11521	7940
592	11551	7927
593	11569	7907
594	11589	7888
595	11619	7876
596	11638	7856
597	11661	7839
598	11684	7822
599	11712	7808
600	11733	7789
601	11752	7770
602	11767	7747
603	11788	7728
604	11813	7713
605	11846	7702
606	11863	7680
607	11888	7665
608	11908	7645
609	11926	7625
610	11947	7606
611	11967	7587
612	11988	7568
613	12179	7657
614	12239	7662
615	12261	7643
616	12291	7629
617	12327	7619
618	12360	7607
619	12391	7594
620	12409	7573
621	12426	7551
622	12469	7545
623	12492	7527
624	12517	7510
625	12534	7488
626	12552	7467
627	12571	7446
628	12587	7424
629	12606	7403
630	12621	7381
631	12638	7359
632	12660	7340
633	12677	7318
634	12691	7294
635	12712	7275
